Codice attacco,Test Number,Data inizio attacco,Data fine attacco,Exit code
T1027.004  - ,1,2024-06-19T10:29:34+02:00,2024-06-19T10:29:35+02:00,0
T1027.004  - ,2,2024-06-19T10:29:37+02:00,2024-06-19T10:29:39+02:00,0
T1027.006  - ,1,2024-06-19T10:29:43+02:00,2024-06-19T10:29:44+02:00,0
T1027.007  - ,1,2024-06-19T10:29:48+02:00,2024-06-19T10:29:58+02:00,0
T1030  - ,1,2024-06-19T10:30:02+02:00,2024-06-19T10:30:03+02:00,1
T1033  - ,1,2024-06-19T10:30:06+02:00,2024-06-19T10:30:06+02:00,2
T1033  - ,2,2024-06-19T10:30:08+02:00,2024-06-19T10:30:13+02:00,1
T1033  - ,3,2024-06-19T10:30:17+02:00,2024-06-19T10:30:18+02:00,0
T1033  - ,4,2024-06-19T10:30:22+02:00,2024-06-19T10:30:24+02:00,0
T1033  - ,5,2024-06-19T10:30:27+02:00,2024-06-19T10:30:29+02:00,0
T1033  - ,6,2024-06-19T10:30:33+02:00,2024-06-19T10:30:33+02:00,1
T1036  - ,1,2024-06-19T10:30:35+02:00,2024-06-19T10:30:41+02:00,0
T1036  - ,2,2024-06-19T10:30:44+02:00,2024-06-19T10:30:46+02:00,0
T1036.003  - ,1,2024-06-19T10:30:49+02:00,2024-06-19T10:32:42+02:00,0
T1036.003  - ,2,2024-06-19T10:32:44+02:00,2024-06-19T10:32:45+02:00,1
T1036.003  - ,3,2024-06-19T10:32:47+02:00,2024-06-19T10:34:39+02:00,-1
T1036.003  - ,4,2024-06-19T10:34:41+02:00,2024-06-19T10:36:31+02:00,0
T1036.003  - ,5,2024-06-19T10:36:34+02:00,2024-06-19T10:36:37+02:00,-2146233079
T1036.003  - ,6,2024-06-19T10:36:40+02:00,2024-06-19T10:36:42+02:00,0
T1036.003  - ,7,2024-06-19T10:36:45+02:00,2024-06-19T10:36:45+02:00,0
T1036.003  - ,8,2024-06-19T10:36:47+02:00,2024-06-19T10:36:52+02:00,0
T1036.004  - ,1,2024-06-19T10:36:54+02:00,2024-06-19T10:36:55+02:00,0
T1036.004  - ,2,2024-06-19T10:36:56+02:00,2024-06-19T10:36:57+02:00,0
T1036.005  - ,1,2024-06-19T10:36:59+02:00,2024-06-19T10:37:00+02:00,0
T1037.001  - ,1,2024-06-19T10:37:03+02:00,2024-06-19T10:37:04+02:00,0
T1039  - ,1,2024-06-19T10:37:06+02:00,2024-06-19T10:37:06+02:00,1
T1039  - ,2,2024-06-19T10:37:08+02:00,2024-06-19T10:37:09+02:00,0
T1040  - ,1,2024-06-19T10:37:11+02:00,2024-06-19T10:37:12+02:00,1
T1040  - ,2,2024-06-19T10:37:14+02:00,2024-06-19T10:37:15+02:00,0
T1040  - ,3,2024-06-19T10:38:23+02:00,2024-06-19T10:38:29+02:00,0
T1040  - ,4,2024-06-19T10:38:31+02:00,2024-06-19T10:38:31+02:00,0
T1040  - ,5,2024-06-19T10:38:33+02:00,2024-06-19T10:38:35+02:00,0
T1041  - ,1,2024-06-19T10:38:37+02:00,2024-06-19T10:38:39+02:00,0
T1041  - ,2,2024-06-19T10:38:41+02:00,2024-06-19T10:38:47+02:00,0
T1046  - ,1,2024-06-19T10:38:50+02:00,2024-06-19T10:38:50+02:00,0
T1046  - ,2,2024-06-19T10:38:53+02:00,2024-06-19T10:38:54+02:00,0
T1046  - ,3,2024-06-19T10:38:57+02:00,2024-06-19T10:39:04+02:00,0
T1046  - ,4,2024-06-19T10:39:06+02:00,2024-06-19T10:39:09+02:00,0
T1046  - ,5,2024-06-19T10:39:11+02:00,2024-06-19T10:39:14+02:00,0
T1046  - ,6,2024-06-19T10:39:16+02:00,2024-06-19T10:41:07+02:00,-1
T1046  - ,7,2024-06-19T10:41:09+02:00,2024-06-19T10:42:49+02:00,0
T1047  - ,1,2024-06-19T10:42:51+02:00,2024-06-19T10:42:52+02:00,0
T1047  - ,2,2024-06-19T10:42:54+02:00,2024-06-19T10:42:54+02:00,0
T1047  - ,3,2024-06-19T10:42:56+02:00,2024-06-19T10:42:57+02:00,0
T1047  - ,4,2024-06-19T10:42:59+02:00,2024-06-19T10:42:59+02:00,0
T1047  - ,5,2024-06-19T10:43:01+02:00,2024-06-19T10:43:02+02:00,0
T1047  - ,6,2024-06-19T10:43:03+02:00,2024-06-19T10:43:04+02:00,-2147024882
T1047  - ,7,2024-06-19T10:43:05+02:00,2024-06-19T10:43:08+02:00,0
T1047  - ,8,2024-06-19T10:43:10+02:00,2024-06-19T10:43:11+02:00,0
T1047  - ,9,2024-06-19T10:43:13+02:00,2024-06-19T10:43:13+02:00,0
T1047  - ,10,2024-06-19T10:43:15+02:00,2024-06-19T10:43:22+02:00,0
T1048  - ,1,2024-06-19T10:43:24+02:00,2024-06-19T10:43:25+02:00,0
T1048.002  - ,1,2024-06-19T10:43:27+02:00,2024-06-19T10:43:29+02:00,0
T1048.003  - ,1,2024-06-19T10:43:31+02:00,2024-06-19T10:43:32+02:00,0
T1048.003  - ,2,2024-06-19T10:43:35+02:00,2024-06-19T10:43:37+02:00,0
T1048.003  - ,3,2024-06-19T10:43:40+02:00,2024-06-19T10:43:42+02:00,0
T1048.003  - ,4,2024-06-19T10:43:44+02:00,2024-06-19T10:43:45+02:00,0
T1048.003  - ,5,2024-06-19T10:43:47+02:00,2024-06-19T10:43:48+02:00,0
T1049  - ,1,2024-06-19T10:43:50+02:00,2024-06-19T10:43:52+02:00,0
T1049  - ,2,2024-06-19T10:43:54+02:00,2024-06-19T10:43:56+02:00,0
T1049  - ,3,2024-06-19T10:43:58+02:00,2024-06-19T10:43:58+02:00,0
T1053.002  - ,1,2024-06-19T10:44:00+02:00,2024-06-19T10:44:01+02:00,1
T1053.005  - ,1,2024-06-19T10:44:03+02:00,2024-06-19T10:44:03+02:00,0
T1053.005  - ,2,2024-06-19T10:44:05+02:00,2024-06-19T10:44:06+02:00,0
T1053.005  - ,3,2024-06-19T10:44:08+02:00,2024-06-19T10:44:08+02:00,1
T1053.005  - ,4,2024-06-19T10:44:10+02:00,2024-06-19T10:44:11+02:00,0
T1053.005  - ,5,2024-06-19T10:44:15+02:00,2024-06-19T10:44:16+02:00,0
T1053.005  - ,6,2024-06-19T10:44:20+02:00,2024-06-19T10:44:20+02:00,0
T1053.005  - ,7,2024-06-19T10:44:23+02:00,2024-06-19T10:44:23+02:00,0
T1053.005  - ,8,2024-06-19T10:44:25+02:00,2024-06-19T10:44:26+02:00,0
T1053.005  - ,9,2024-06-19T10:44:29+02:00,2024-06-19T10:44:29+02:00,0
T1053.005  - ,10,2024-06-19T10:44:33+02:00,2024-06-19T10:44:33+02:00,1
T1055  - ,1,2024-06-19T10:44:35+02:00,2024-06-19T10:44:36+02:00,0
T1055  - ,2,2024-06-19T10:44:38+02:00,2024-06-19T10:44:39+02:00,1
T1055  - ,3,2024-06-19T10:44:41+02:00,2024-06-19T10:44:43+02:00,0
T1055  - ,4,2024-06-19T10:44:45+02:00,2024-06-19T10:46:38+02:00,-1
T1055  - ,5,2024-06-19T10:46:40+02:00,2024-06-19T10:46:46+02:00,0
T1055  - ,6,2024-06-19T10:46:48+02:00,2024-06-19T10:46:49+02:00,0
T1055  - ,7,2024-06-19T10:46:51+02:00,2024-06-19T10:46:52+02:00,0
T1055  - ,8,2024-06-19T10:46:54+02:00,2024-06-19T10:46:55+02:00,0
T1055  - ,9,2024-06-19T10:46:57+02:00,2024-06-19T10:46:58+02:00,0
T1055  - ,10,2024-06-19T10:47:01+02:00,2024-06-19T10:47:02+02:00,0
T1055  - ,11,2024-06-19T10:47:04+02:00,2024-06-19T10:47:05+02:00,0
T1055  - ,12,2024-06-19T10:47:08+02:00,2024-06-19T10:47:08+02:00,0
T1055  - ,13,2024-06-19T10:47:11+02:00,2024-06-19T10:49:02+02:00,-1
T1055.001  - ,1,2024-06-19T10:49:04+02:00,2024-06-19T10:49:05+02:00,0
T1055.001  - ,2,2024-06-19T10:49:07+02:00,2024-06-19T10:49:16+02:00,0
T1055.002  - ,1,2024-06-19T10:49:18+02:00,2024-06-19T10:49:27+02:00,0
T1055.003  - ,1,2024-06-19T10:49:29+02:00,2024-06-19T10:49:36+02:00,0
T1055.004  - ,1,2024-06-19T10:49:39+02:00,2024-06-19T10:49:44+02:00,-532462766
T1055.004  - ,2,2024-06-19T10:49:46+02:00,2024-06-19T10:49:47+02:00,0
T1055.004  - ,3,2024-06-19T10:49:49+02:00,2024-06-19T10:49:49+02:00,0
T1055.011  - ,1,2024-06-19T10:49:51+02:00,2024-06-19T10:49:52+02:00,0
T1055.012  - ,1,2024-06-19T10:49:54+02:00,2024-06-19T10:49:55+02:00,0
T1055.012  - ,2,2024-06-19T10:49:56+02:00,2024-06-19T10:49:58+02:00,0
T1055.012  - ,3,2024-06-19T10:50:00+02:00,2024-06-19T10:50:00+02:00,0
T1055.012  - ,4,2024-06-19T10:50:02+02:00,2024-06-19T10:50:02+02:00,0
T1055.015  - ,1,2024-06-19T10:50:04+02:00,2024-06-19T10:51:57+02:00,-1
T1056.001  - ,1,2024-06-19T10:52:00+02:00,2024-06-19T10:52:00+02:00,0
T1056.002  - ,1,2024-06-19T10:52:02+02:00,2024-06-19T10:53:51+02:00,-1
T1056.004  - ,1,2024-06-19T10:53:53+02:00,2024-06-19T10:53:55+02:00,0
T1057  - ,1,2024-06-19T10:53:57+02:00,2024-06-19T10:53:57+02:00,0
T1057  - ,2,2024-06-19T10:53:59+02:00,2024-06-19T10:54:00+02:00,0
T1057  - ,3,2024-06-19T10:54:02+02:00,2024-06-19T10:54:04+02:00,0
T1057  - ,4,2024-06-19T10:54:07+02:00,2024-06-19T10:54:08+02:00,0
T1057  - ,5,2024-06-19T10:54:10+02:00,2024-06-19T10:54:10+02:00,0
T1057  - ,6,2024-06-19T10:54:13+02:00,2024-06-19T10:54:13+02:00,0
T1059  - ,1,2024-06-19T10:54:15+02:00,2024-06-19T10:54:16+02:00,0
T1059.001  - ,1,2024-06-19T10:54:18+02:00,2024-06-19T10:54:24+02:00,0
T1059.001  - ,2,2024-06-19T10:54:26+02:00,2024-06-19T10:54:26+02:00,-2146233087
T1059.001  - ,3,2024-06-19T10:54:28+02:00,2024-06-19T10:54:34+02:00,0
T1059.001  - ,4,2024-06-19T10:54:36+02:00,2024-06-19T10:56:27+02:00,-1
T1059.001  - ,5,2024-06-19T10:56:30+02:00,2024-06-19T10:56:36+02:00,0
T1059.001  - ,6,2024-06-19T10:56:38+02:00,2024-06-19T10:56:39+02:00,0
T1059.001  - ,7,2024-06-19T10:56:42+02:00,2024-06-19T10:56:42+02:00,255
T1059.001  - ,8,2024-06-19T10:56:44+02:00,2024-06-19T10:56:45+02:00,0
T1059.001  - ,9,2024-06-19T10:56:47+02:00,2024-06-19T10:56:47+02:00,0
T1059.001  - ,10,2024-06-19T10:56:49+02:00,2024-06-19T10:56:50+02:00,0
T1059.001  - ,11,2024-06-19T10:56:52+02:00,2024-06-19T10:56:52+02:00,0
T1059.001  - ,12,2024-06-19T10:56:54+02:00,2024-06-19T10:56:57+02:00,0
T1059.001  - ,13,2024-06-19T10:56:59+02:00,2024-06-19T10:56:59+02:00,0
T1059.001  - ,14,2024-06-19T10:57:01+02:00,2024-06-19T10:57:02+02:00,0
T1059.001  - ,15,2024-06-19T10:57:04+02:00,2024-06-19T10:57:04+02:00,0
T1059.001  - ,16,2024-06-19T10:57:06+02:00,2024-06-19T10:57:07+02:00,0
T1059.001  - ,17,2024-06-19T10:57:09+02:00,2024-06-19T10:57:09+02:00,0
T1059.001  - ,18,2024-06-19T10:57:11+02:00,2024-06-19T10:57:12+02:00,0
T1059.001  - ,19,2024-06-19T10:57:14+02:00,2024-06-19T10:58:10+02:00,0
T1059.001  - ,20,2024-06-19T10:58:12+02:00,2024-06-19T10:58:13+02:00,0
T1059.001  - ,21,2024-06-19T10:58:15+02:00,2024-06-19T10:58:16+02:00,0
T1059.001  - ,22,2024-06-19T10:58:18+02:00,2024-06-19T10:58:18+02:00,0
T1059.003  - ,1,2024-06-19T10:58:20+02:00,2024-06-19T10:58:21+02:00,0
T1059.003  - ,2,2024-06-19T10:58:23+02:00,2024-06-19T10:58:23+02:00,0
T1059.003  - ,3,2024-06-19T10:58:25+02:00,2024-06-19T10:58:25+02:00,0
T1059.003  - ,4,2024-06-19T10:58:27+02:00,2024-06-19T10:58:32+02:00,0
T1059.003  - ,5,2024-06-19T10:58:37+02:00,2024-06-19T10:58:37+02:00,0
T1059.003  - ,6,2024-06-19T10:58:40+02:00,2024-06-19T10:58:40+02:00,0
T1059.005  - ,1,2024-06-19T10:58:42+02:00,2024-06-19T10:58:43+02:00,0
T1059.005  - ,2,2024-06-19T10:58:45+02:00,2024-06-19T10:58:47+02:00,0
T1059.005  - ,3,2024-06-19T10:58:49+02:00,2024-06-19T10:58:50+02:00,0
T1059.007  - ,1,2024-06-19T10:58:53+02:00,2024-06-19T10:58:53+02:00,0
T1059.007  - ,2,2024-06-19T10:58:55+02:00,2024-06-19T11:00:45+02:00,-1
T1069.001  - ,1,2024-06-19T11:00:47+02:00,2024-06-19T11:00:47+02:00,0
T1069.001  - ,2,2024-06-19T11:00:49+02:00,2024-06-19T11:00:50+02:00,0
T1069.001  - ,3,2024-06-19T11:00:52+02:00,2024-06-19T11:00:52+02:00,0
T1069.001  - ,4,2024-06-19T11:00:55+02:00,2024-06-19T11:00:55+02:00,0
T1069.001  - ,5,2024-06-19T11:00:58+02:00,2024-06-19T11:00:58+02:00,0
T1069.002  - ,1,2024-06-19T11:01:01+02:00,2024-06-19T11:01:01+02:00,2
T1069.002  - ,2,2024-06-19T11:01:03+02:00,2024-06-19T11:01:04+02:00,0
T1069.002  - ,3,2024-06-19T11:01:06+02:00,2024-06-19T11:01:06+02:00,2
T1069.002  - ,4,2024-06-19T11:01:08+02:00,2024-06-19T11:01:11+02:00,1
T1069.002  - ,5,2024-06-19T11:01:13+02:00,2024-06-19T11:01:15+02:00,1
T1069.002  - ,6,2024-06-19T11:01:17+02:00,2024-06-19T11:01:19+02:00,1
T1069.002  - ,7,2024-06-19T11:01:21+02:00,2024-06-19T11:01:22+02:00,0
T1069.002  - ,8,2024-06-19T11:01:23+02:00,2024-06-19T11:01:24+02:00,1
T1069.002  - ,9,2024-06-19T11:01:25+02:00,2024-06-19T11:01:26+02:00,0
T1069.002  - ,10,2024-06-19T11:01:28+02:00,2024-06-19T11:01:28+02:00,0
T1069.002  - ,11,2024-06-19T11:01:30+02:00,2024-06-19T11:01:30+02:00,0
T1069.002  - ,12,2024-06-19T11:01:33+02:00,2024-06-19T11:01:34+02:00,0
T1069.002  - ,13,2024-06-19T11:01:36+02:00,2024-06-19T11:01:38+02:00,0
T1069.002  - ,14,2024-06-19T11:01:40+02:00,2024-06-19T11:01:41+02:00,1
T1070  - ,1,2024-06-19T11:01:43+02:00,2024-06-19T11:01:43+02:00,0
T1070  - ,2,2024-06-19T11:01:45+02:00,2024-06-19T11:01:46+02:00,0
T1070.001  - ,1,2024-06-19T11:01:48+02:00,2024-06-19T11:01:48+02:00,0
T1070.001  - ,2,2024-06-19T11:01:50+02:00,2024-06-19T11:01:51+02:00,0
T1070.001  - ,3,2024-06-19T11:01:53+02:00,2024-06-19T11:01:54+02:00,0
T1070.003  - ,1,2024-06-19T11:01:57+02:00,2024-06-19T11:01:57+02:00,0
T1070.003  - ,2,2024-06-19T11:01:59+02:00,2024-06-19T11:02:00+02:00,0
T1070.003  - ,3,2024-06-19T11:02:02+02:00,2024-06-19T11:02:02+02:00,0
T1070.004  - ,1,2024-06-19T11:02:05+02:00,2024-06-19T11:02:05+02:00,0
T1070.004  - ,2,2024-06-19T11:02:07+02:00,2024-06-19T11:02:07+02:00,2
T1070.004  - ,3,2024-06-19T11:02:09+02:00,2024-06-19T11:02:09+02:00,0
T1070.004  - ,4,2024-06-19T11:02:11+02:00,2024-06-19T11:02:12+02:00,0
T1070.004  - ,5,2024-06-19T11:02:14+02:00,2024-06-19T11:02:14+02:00,0
T1070.004  - ,6,2024-06-19T11:02:16+02:00,2024-06-19T11:02:16+02:00,0
T1070.005  - ,1,2024-06-19T11:02:19+02:00,2024-06-19T11:02:19+02:00,1
T1070.005  - ,2,2024-06-19T11:02:21+02:00,2024-06-19T11:02:21+02:00,2
T1070.005  - ,3,2024-06-19T11:02:23+02:00,2024-06-19T11:02:25+02:00,0
T1070.005  - ,4,2024-06-19T11:02:28+02:00,2024-06-19T11:02:28+02:00,0
T1070.005  - ,5,2024-06-19T11:02:30+02:00,2024-06-19T11:02:30+02:00,0
T1070.006  - ,1,2024-06-19T11:02:33+02:00,2024-06-19T11:02:33+02:00,0
T1070.006  - ,2,2024-06-19T11:02:35+02:00,2024-06-19T11:02:36+02:00,0
T1070.006  - ,3,2024-06-19T11:02:38+02:00,2024-06-19T11:02:38+02:00,0
T1070.006  - ,4,2024-06-19T11:02:40+02:00,2024-06-19T11:02:41+02:00,0
T1070.008  - ,1,2024-06-19T11:02:43+02:00,2024-06-19T11:02:43+02:00,0
T1070.008  - ,2,2024-06-19T11:02:45+02:00,2024-06-19T11:02:45+02:00,0
T1071  - ,1,2024-06-19T11:02:47+02:00,2024-06-19T11:02:50+02:00,0
T1071.001  - ,1,2024-06-19T11:02:52+02:00,2024-06-19T11:02:54+02:00,0
T1071.001  - ,2,2024-06-19T11:02:56+02:00,2024-06-19T11:02:57+02:00,0
T1071.004  - ,1,2024-06-19T11:02:59+02:00,2024-06-19T11:04:43+02:00,0
T1071.004  - ,2,2024-06-19T11:04:46+02:00,2024-06-19T11:06:37+02:00,-1
